gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,csho,costat,prcc_c
006435,20061231,2006,INDL,C,D,STD,KMB,USD,455.6000,A,67.9500
006509,20060930,2006,INDL,C,D,STD,KLIC,USD,57.2080,A,8.4000
006565,20060630,2006,INDL,C,D,STD,LRCX,USD,141.7850,A,50.6200
006649,20061231,2006,INDL,C,D,STD,LEG,USD,177.9540,A,23.9000
006730,20061231,2006,INDL,C,D,STD,LLY,USD,1091.6680,A,52.1000
006774,20061231,2006,INDL,C,D,STD,LMT,USD,421.3000,A,92.0700
006821,20061231,2006,INDL,C,D,STD,LPX,USD,104.2300,A,21.5300
006946,20061231,2006,INDL,C,D,STD,MGA,USD,109.8800,A,80.5500
006994,20061231,2006,INDL,C,D,STD,MTW,USD,62.1220,A,59.4300
007017,20061231,2006,INDL,C,D,STD,MRO,USD,347.7710,A,92.5000
007085,20061231,2006,INDL,C,D,STD,MAS,USD,383.8900,A,29.8700
007116,20061231,2006,INDL,C,D,STD,MAT,USD,384.3000,A,22.6600
007146,20061130,2006,INDL,C,D,STD,MKC,USD,130.1000,A,38.5600
007257,20061231,2006,INDL,C,D,STD,MRK,USD,2167.7850,A,43.6000
007343,20060831,2006,INDL,C,D,STD,MU,USD,749.4000,A,13.9600
007435,20061231,2006,INDL,C,D,STD,MMM,USD,734.3630,A,77.9300
007549,20060930,2006,INDL,C,D,STD,MOG.A,USD,42.2960,A,38.1900
007620,20061231,2006,INDL,C,D,STD,MUR,USD,187.5720,A,50.8500
007648,20061231,2006,INDL,C,D,STD,NCR,USD,178.9000,A,42.7600
007866,20061231,2006,INDL,C,D,STD,NYT,USD,143.8600,A,24.3600
007875,20061231,2006,INDL,C,D,STD,NWL,USD,275.3000,A,28.9500
007985,20061231,2006,INDL,C,D,STD,NOC,USD,345.9220,A,67.7000
007991,20061231,2006,INDL,C,D,STD,TEX,USD,101.1000,A,64.5800
008020,20061231,2006,INDL,C,D,STD,NVO,USD,317.2470,A,83.6300
008030,20061231,2006,INDL,C,D,STD,NUE,USD,300.9490,A,54.6600
008123,20061231,2006,INDL,C,D,STD,OLN,USD,73.3000,A,16.5200
008214,20061231,2006,INDL,C,D,STD,OC,USD,130.8000,A,29.9000
008215,20061231,2006,INDL,C,D,STD,OI,USD,154.2350,A,18.4500
008247,20061231,2006,INDL,C,D,STD,PPG,USD,164.0820,A,64.2100
008358,20060630,2006,INDL,C,D,STD,PH,USD,120.3150,A,76.8800
008463,20061231,2006,INDL,C,D,STD,PNR,USD,99.7770,A,31.4000
008479,20061231,2006,INDL,C,D,STD,PEP,USD,1638.0000,A,62.5500
008530,20061231,2006,INDL,C,D,STD,PFE,USD,7124.0000,A,25.9000
008543,20061231,2006,INDL,C,D,STD,MO,USD,2097.0810,A,85.8200
008546,20061231,2006,INDL,C,D,STD,PHG,USD,1106.8930,A,37.5800
008549,20061231,2006,INDL,C,D,STD,COP,USD,1646.0820,A,71.9500
008551,20060131,2005,INDL,C,D,STD,PVH,USD,43.2360,A,32.4000
008606,20061231,2006,INDL,C,D,STD,PBI,USD,220.6130,A,46.1900
008692,20061231,2006,INDL,C,D,STD,PCH,USD,38.8240,A,43.8200
008762,20060630,2006,INDL,C,D,STD,PG,USD,3178.8000,A,64.2700
009203,20060930,2006,INDL,C,D,STD,ROK,USD,170.8000,A,61.0800
009555,20061231,2006,INDL,C,D,STD,SEE,USD,80.6650,A,64.9200
009667,20061231,2006,INDL,C,D,STD,SHW,USD,133.5650,A,63.5800
009778,20061231,2006,INDL,C,D,STD,SNA,USD,58.1710,A,47.6400
009815,20061231,2006,INDL,C,D,STD,SON,USD,100.5500,A,38.0600
010000,20061231,2006,INDL,C,D,STD,SMP,USD,18.3760,A,14.9800
010016,20061231,2006,INDL,C,D,STD,SWK,USD,81.8410,A,50.2900
010115,20061231,2006,INDL,C,D,STD,SYK,USD,407.9000,A,55.1100
010405,20061231,2006,INDL,C,D,STD,ATI,USD,101.2010,A,90.6800
010443,20061231,2006,INDL,C,D,STD,TEN,USD,45.7900,A,24.7200
010499,20061231,2006,INDL,C,D,STD,TXN,USD,1450.0310,A,28.8000
010519,20061231,2006,INDL,C,D,STD,TXT,USD,125.5960,A,93.7700
010530,20061231,2006,INDL,C,D,STD,TMO,USD,416.6050,A,45.2900
010581,20061231,2006,INDL,C,D,STD,TKR,USD,94.1640,A,29.1800
010618,20061031,2006,INDL,C,D,STD,TTC,USD,40.3560,A,46.6300
010793,20060930,2006,INDL,C,D,STD,TSN,USD,355.0000,A,16.4500
010839,20060630,2006,INDL,C,D,STD,UFI,USD,52.2080,A,2.4500
010846,20061231,2006,INDL,C,D,STD,UL,USD,2889.9080,A,27.2500
010857,20061231,2006,INDL,C,D,STD,DOW2,USD,0.0010,A,
010991,20061231,2006,INDL,C,D,STD,SGMS,USD,91.6280,A,30.2300
011012,20061231,2006,INDL,C,D,STD,SXT,USD,46.5700,A,24.6000
011060,20061231,2006,INDL,C,D,STD,VFC,USD,112.1850,A,82.0800
011094,20061231,2006,INDL,C,D,STD,VMI,USD,25.6340,A,55.4900
011191,20061231,2006,INDL,C,D,STD,VSH,USD,184.4630,A,13.5400
011465,20061231,2006,INDL,C,D,STD,WHR,USD,78.0000,A,83.0200
011636,20061231,2006,INDL,C,D,STD,XRX,USD,946.2050,A,16.9500
011721,20060930,2006,INDL,C,D,STD,OSK,USD,73.7510,A,48.4200
012389,20061231,2006,INDL,C,D,STD,HOG,USD,258.0520,A,70.4700
012445,20061231,2006,INDL,C,D,STD,WTS,USD,38.5330,A,41.1100
012578,20061231,2006,INDL,C,D,STD,VHI,USD,114.8960,A,25.9800
012785,20060930,2006,INDL,C,D,STD,PPC,USD,66.5560,A,29.4300
013200,20061031,2006,INDL,C,D,STD,PLAB,USD,41.4850,A,16.3400
013623,20061231,2006,INDL,C,D,STD,CNMD,USD,27.9820,A,23.1200
